ISIN,Description,Maturity Date
INE202B07FP6,DEWAN HOUSING FINANCE CORPORATION LIMITED SR-15 (TR-9) 9.5 NCD 16JL20 FVRS10LAC - Defaulted in Redemption,16-07-2020
INE274Q07024,ASHVI DEVELOPERS PRIVATE LIMITED SR I TR-2 20 LOA 21AG18 FVRS1LAC - Defaulted in Redemption,21-08-2018
INE871D07OB6,INFRASTRUCTURE LEASING & FINANCIAL SERVICES LTD SR-I-P 8.78 NCD 23JL20 FVRS1000 - Defaulted in Redemption,23-07-2020
INE059B07146,SIMPLEX INFRASTRUCTURES LIMITED SR-VII-B 11.25 LOA 17JU20 FVRS10LAC - Defaulted in Redemption,17-06-2020
INE871D07OC4,INFRASTRUCTURE LEASING & FINANCIAL SERVICES LTD SR-I-Q 8.75 NCD 29JL20 FVRS1000 - Defaulted in Redemption,29-07-2020
INE871D07OD2,INFRASTRUCTURE LEASING & FINANCIAL SERVICES LTD SR-I-R 8.75 NCD 31JL20 FVRS1000 - Defaulted in Redemption,31-07-2020
INE372T07012,ASP INFRAPROJECTS PRIVATE LIMITED SR-A 18 NCD 30JU19 FVRS1LAC - Defaulted in Redemption,30-06-2019
INE372T07020,ASP INFRAPROJECTS PRIVATE LIMITED SR-B 18 NCD 30JU19 FVRS1LAC - Defaulted in Redemption,30-06-2019
INE372T07038,ASP INFRAPROJECTS PRIVATE LIMITED SR-C 18 NCD 30JU19 FVRS1LAC - Defaulted in Redemption,30-06-2019
INE372T07046,ASP INFRAPROJECTS PRIVATE LIMITED SR-D 18 NCD 30JU19 FVRS1LAC - Defaulted in Redemption,30-06-2019
INE202B07FZ5,DEWAN HOUSING FINANCE CORPORATION LIMITED SR-15 (TR-19) 9.45 NCD 08SP20 FVRS10LAC - Defaulted in Redemption,08-09-2020
INE871D07OK7,INFRASTRUCTURE LEASING & FINANCIAL SERVICES LTD SR-I-W OPT I 8.8 NCD 21SP20 FVRS1000 - Defaulted in Redemption,21-09-2020
INE871D07OM3,INFRASTRUCTURE LEASING & FINANCIAL SERVICES LTD SR-I-X OPT I 8.8 NCD 22SP20 FVRS1000 - Defaulted in Redemption,22-09-2020
INE871D07OQ4,INFRASTRUCTURE LEASING & FINANCIAL SERVICES LTD SR-I-Z 8.5 NCD 28OT20 FVRS1000 - Defaulted in Redemption,28-10-2020
INE202B07GF5,DEWAN HOUSING FINANCE CORPORATION LIMITED SR-15 (TR-25) 9.3 NCD 30OT20 FVRS10LAC - Defaulted in Redemption,30-10-2020
INE013A07S41,RELIANCE CAPITAL LIMITED SR- FB-339 8.75 NCD 11DC20 FVRS10LAC - Defaulted in Redemption,11-12-2020
INE217K07521,RELIANCE HOME FINANCE LIMITED SR-B-39 8.8 NCD 15DC20 FVRS5LAC - Defaulted in Redemption,15-12-2020
INE871D07OU6,INFRASTRUCTURE LEASING & FINANCIAL SERVICES LTD SR-I-B OPT III 8.65 NCD 22DC20 FVRS1000 - Defaulted in Redemption,22-12-2020
INE228R07028,MANYATA DEVELOPERS PRIVATE LIMITED 18.5 NCD 30JU20 FVRS630000,30-06-2020
INE516T07014,ANSAL URBAN CONDOMINIUMS PRIVATE LIMITED RR NCD 28JL18 FVRS100 - DEFAULTED - Defaulted in Redemption,28-07-2018
INE871D07OX0,INFRASTRUCTURE LEASING & FINANCIAL SERVICES LTD SR-I-D OPT II 8.7 NCD 25JN21 FVRS1000 - Defaulted in Redemption,25-01-2021
INE670L07040,HBS REALTORS PRIVATE LIMITED TR-III NCD 30JL16 FVRS1000 - Defaulted in Redemption,30-07-2016
INE217K07646,RELIANCE HOME FINANCE LIMITED SR-B-40 9 NCD 08MR21 FVRS5LAC - Defaulted in Redemption,08-03-2021
INE217K07653,RELIANCE HOME FINANCE LIMITED SR-M/21 TYPE I BR NCD 09SP19 FVRS5LAC - Defaulted in Redemption,09-09-2019
INE512U07011,TRUEWIN REALTY LIMITED SR-TRL 01 12 LOA 10JU19 FVRS1LAC - Defaulted in Redemption,10-06-2019
INE871D07PB3,INFRASTRUCTURE LEASING & FINANCIAL SERVICES LTD SR-I-F OPT III 8.9 NCD 15MR21 FVRS1000 - Defaulted in Redemption,15-03-2021
INE217K07661,RELIANCE HOME FINANCE LIMITED SR-B-NCD-41 9 NCD 16MR21 FVRS5LAC - Defaulted in Redemption,16-03-2021
INE871D07PE7,INFRASTRUCTURE LEASING & FINANCIAL SERVICES LTD SR-I-G- OPT III 8.9 NCD 17MR21 FVRS1000 - Defaulted in Redemption,17-03-2021
INE871D07PG2,INFRASTRUCTURE LEASING & FINANCIAL SERVICES LTD SR-I-H OPT II 9.2 NCD 18MR21 FVRS1000 - Defaulted in Redemption,18-03-2021
